employee_id,first_name,last_name,email,country,city,job_title,department,currency,annual_salary_local,annual_salary_usd,hire_date,years_of_service,performance,remote_status
USA0107,USAEmp107,Last107,usa107@company.com,United States,Austin,Software Engineer,Marketing,USD,110444,110444.0,2019-08-13,6.5,Excellent,Remote
USA0108,USAEmp108,Last108,usa108@company.com,United States,Seattle,Engineering Manager,Finance,USD,171830,171830.0,2024-12-05,1.1,Outstanding,On-Site
USA0109,USAEmp109,Last109,usa109@company.com,United States,Austin,Software Engineer,Finance,USD,112754,112754.0,2020-02-05,6.0,Good,Remote
USA0110,USAEmp110,Last110,usa110@company.com,United States,Austin,Engineering Manager,Marketing,USD,184725,184725.0,2025-12-06,0.1,Outstanding,Hybrid
USA0111,USAEmp111,Last111,usa111@company.com,United States,Austin,Data Scientist,Finance,USD,136653,136653.0,2016-10-11,9.3,Excellent,Hybrid
USA0112,USAEmp112,Last112,usa112@company.com,United States,Seattle,Senior Software Engineer,HR,USD,178090,178090.0,2020-03-21,5.9,Satisfactory,Hybrid
USA0113,USAEmp113,Last113,usa113@company.com,United States,Seattle,Product Manager,Sales,USD,157908,157908.0,2019-06-06,6.6,Excellent,Remote
USA0114,USAEmp114,Last114,usa114@company.com,United States,Austin,Data Scientist,HR,USD,124543,124543.0,2023-05-04,2.7,Satisfactory,Hybrid
USA0115,USAEmp115,Last115,usa115@company.com,United States,Seattle,Software Engineer,Product,USD,122394,122394.0,2016-07-12,9.5,Satisfactory,Remote
USA0116,USAEmp116,Last116,usa116@company.com,United States,Seattle,Data Scientist,HR,USD,111931,111931.0,2022-04-03,3.8,Good,On-Site
USA0117,USAEmp117,Last117,usa117@company.com,United States,San Francisco,Software Engineer,Product,USD,123857,123857.0,2023-12-06,2.1,Satisfactory,Hybrid
USA0118,USAEmp118,Last118,usa118@company.com,United States,Austin,Engineering Manager,Finance,USD,171499,171499.0,2018-04-30,7.7,Satisfactory,Hybrid
USA0119,USAEmp119,Last119,usa119@company.com,United States,New York,Software Engineer,Marketing,USD,96098,96098.0,2022-10-09,3.3,Excellent,Hybrid
USA0120,USAEmp120,Last120,usa120@company.com,United States,Austin,Sales Manager,HR,USD,108112,108112.0,2021-12-07,4.1,Good,Hybrid
USA0121,USAEmp121,Last121,usa121@company.com,United States,Seattle,Sales Manager,Finance,USD,106070,106070.0,2022-05-13,3.7,Satisfactory,Hybrid
USA0122,USAEmp122,Last122,usa122@company.com,United States,San Francisco,Data Scientist,Finance,USD,111475,111475.0,2023-06-27,2.6,Excellent,Hybrid
USA0123,USAEmp123,Last123,usa123@company.com,United States,New York,Software Engineer,Product,USD,138685,138685.0,2020-01-24,6.0,Excellent,On-Site
USA0124,USAEmp124,Last124,usa124@company.com,United States,Boston,Product Manager,HR,USD,128120,128120.0,2017-12-12,8.1,Good,Remote
USA0125,USAEmp125,Last125,usa125@company.com,United States,Seattle,Senior Software Engineer,Product,USD,149414,149414.0,2023-07-10,2.5,Good,Remote
USA0126,USAEmp126,Last126,usa126@company.com,United States,Seattle,Sales Manager,Engineering,USD,105005,105005.0,2024-08-26,1.4,Outstanding,On-Site
USA0127,USAEmp127,Last127,usa127@company.com,United States,Austin,Data Scientist,Engineering,USD,140705,140705.0,2024-08-27,1.4,Outstanding,On-Site
USA0128,USAEmp128,Last128,usa128@company.com,United States,Austin,Data Scientist,Sales,USD,125762,125762.0,2020-09-14,5.4,Excellent,Remote
USA0129,USAEmp129,Last129,usa129@company.com,United States,San Francisco,Data Scientist,Marketing,USD,126308,126308.0,2024-10-16,1.3,Satisfactory,Remote
USA0130,USAEmp130,Last130,usa130@company.com,United States,New York,Engineering Manager,HR,USD,147026,147026.0,2024-05-15,1.7,Good,Remote
USA0131,USAEmp131,Last131,usa131@company.com,United States,Austin,Senior Software Engineer,HR,USD,137762,137762.0,2019-10-25,6.3,Excellent,On-Site
USA0132,USAEmp132,Last132,usa132@company.com,United States,Seattle,Product Manager,HR,USD,139524,139524.0,2021-02-08,5.0,Satisfactory,Hybrid
USA0133,USAEmp133,Last133,usa133@company.com,United States,San Francisco,Engineering Manager,Product,USD,147894,147894.0,2019-03-27,6.8,Excellent,Hybrid
USA0134,USAEmp134,Last134,usa134@company.com,United States,New York,Sales Manager,Product,USD,75320,75320.0,2024-04-23,1.8,Outstanding,Remote
USA0135,USAEmp135,Last135,usa135@company.com,United States,Boston,Software Engineer,Marketing,USD,116772,116772.0,2021-01-07,5.1,Good,Remote
USA0136,USAEmp136,Last136,usa136@company.com,United States,Seattle,Senior Software Engineer,Finance,USD,148881,148881.0,2018-02-22,7.9,Satisfactory,Remote
USA0137,USAEmp137,Last137,usa137@company.com,United States,Boston,Sales Manager,Finance,USD,85297,85297.0,2023-02-08,3.0,Excellent,Hybrid
USA0138,USAEmp138,Last138,usa138@company.com,United States,New York,Software Engineer,Sales,USD,125688,125688.0,2023-07-21,2.5,Excellent,Remote
USA0139,USAEmp139,Last139,usa139@company.com,United States,Seattle,Software Engineer,HR,USD,100873,100873.0,2017-03-08,8.9,Good,Hybrid
USA0140,USAEmp140,Last140,usa140@company.com,United States,Seattle,Software Engineer,Finance,USD,120716,120716.0,2018-05-08,7.7,Satisfactory,Hybrid
USA0141,USAEmp141,Last141,usa141@company.com,United States,San Francisco,Engineering Manager,HR,USD,204722,204722.0,2021-02-28,4.9,Outstanding,Hybrid
USA0142,USAEmp142,Last142,usa142@company.com,United States,Seattle,Sales Manager,Engineering,USD,91123,91123.0,2019-04-21,6.8,Outstanding,Remote
USA0143,USAEmp143,Last143,usa143@company.com,United States,San Francisco,Sales Manager,Finance,USD,107696,107696.0,2019-06-28,6.6,Good,On-Site
USA0144,USAEmp144,Last144,usa144@company.com,United States,Austin,Software Engineer,HR,USD,139562,139562.0,2024-02-09,2.0,Satisfactory,Hybrid
USA0145,USAEmp145,Last145,usa145@company.com,United States,Austin,Senior Software Engineer,Engineering,USD,168360,168360.0,2021-03-08,4.9,Satisfactory,Hybrid
USA0146,USAEmp146,Last146,usa146@company.com,United States,San Francisco,Product Manager,Product,USD,131843,131843.0,2022-06-21,3.6,Good,Hybrid
USA0147,USAEmp147,Last147,usa147@company.com,United States,Austin,Sales Manager,HR,USD,102471,102471.0,2022-11-03,3.2,Outstanding,Hybrid
USA0148,USAEmp148,Last148,usa148@company.com,United States,Seattle,Software Engineer,Engineering,USD,110612,110612.0,2023-03-30,2.8,Satisfactory,On-Site
USA0149,USAEmp149,Last149,usa149@company.com,United States,Boston,Software Engineer,Marketing,USD,133100,133100.0,2016-04-28,9.7,Satisfactory,Remote
USA0150,USAEmp150,Last150,usa150@company.com,United States,Boston,Senior Software Engineer,Marketing,USD,163976,163976.0,2022-01-06,4.1,Satisfactory,Remote
USA0151,USAEmp151,Last151,usa151@company.com,United States,New York,Senior Software Engineer,Sales,USD,147501,147501.0,2019-11-30,6.2,Satisfactory,On-Site
USA0152,USAEmp152,Last152,usa152@company.com,United States,Boston,Product Manager,Product,USD,117957,117957.0,2025-09-30,0.3,Excellent,Hybrid
USA0153,USAEmp153,Last153,usa153@company.com,United States,Austin,Engineering Manager,Engineering,USD,141792,141792.0,2019-11-17,6.2,Excellent,Remote
USA0154,USAEmp154,Last154,usa154@company.com,United States,New York,Product Manager,Marketing,USD,117698,117698.0,2018-10-22,7.3,Good,On-Site
USA0155,USAEmp155,Last155,usa155@company.com,United States,Austin,Sales Manager,Marketing,USD,87919,87919.0,2021-05-31,4.7,Excellent,Hybrid
USA0156,USAEmp156,Last156,usa156@company.com,United States,New York,Engineering Manager,HR,USD,158958,158958.0,2021-10-08,4.3,Excellent,Remote
USA0157,USAEmp157,Last157,usa157@company.com,United States,Boston,Data Scientist,Sales,USD,122193,122193.0,2022-04-05,3.8,Outstanding,Hybrid
USA0158,USAEmp158,Last158,usa158@company.com,United States,Boston,Sales Manager,HR,USD,89566,89566.0,2016-09-05,9.4,Satisfactory,Remote
USA0159,USAEmp159,Last159,usa159@company.com,United States,Seattle,Product Manager,Sales,USD,145296,145296.0,2020-08-22,5.4,Satisfactory,Hybrid
USA0160,USAEmp160,Last160,usa160@company.com,United States,New York,Data Scientist,HR,USD,107363,107363.0,2018-04-02,7.8,Satisfactory,Remote
USA0161,USAEmp161,Last161,usa161@company.com,United States,Austin,Product Manager,Finance,USD,112860,112860.0,2022-07-03,3.6,Satisfactory,Hybrid
USA0162,USAEmp162,Last162,usa162@company.com,United States,Austin,Sales Manager,Engineering,USD,112730,112730.0,2024-05-13,1.7,Excellent,On-Site
USA0163,USAEmp163,Last163,usa163@company.com,United States,San Francisco,Engineering Manager,Marketing,USD,183515,183515.0,2016-04-26,9.8,Outstanding,On-Site
USA0164,USAEmp164,Last164,usa164@company.com,United States,New York,Product Manager,Marketing,USD,111005,111005.0,2017-12-20,8.1,Excellent,Remote
USA0165,USAEmp165,Last165,usa165@company.com,United States,Boston,Product Manager,Finance,USD,127368,127368.0,2022-04-11,3.8,Satisfactory,On-Site
USA0166,USAEmp166,Last166,usa166@company.com,United States,Boston,Software Engineer,Marketing,USD,111532,111532.0,2016-07-06,9.6,Good,On-Site
USA0167,USAEmp167,Last167,usa167@company.com,United States,Boston,Sales Manager,Engineering,USD,119768,119768.0,2020-08-07,5.5,Outstanding,Remote
USA0168,USAEmp168,Last168,usa168@company.com,United States,New York,Sales Manager,Finance,USD,114852,114852.0,2022-11-06,3.2,Outstanding,Hybrid
USA0169,USAEmp169,Last169,usa169@company.com,United States,San Francisco,Software Engineer,Marketing,USD,139831,139831.0,2018-12-19,7.1,Excellent,On-Site
USA0170,USAEmp170,Last170,usa170@company.com,United States,Seattle,Data Scientist,Engineering,USD,96897,96897.0,2025-07-22,0.5,Good,Hybrid
USA0171,USAEmp171,Last171,usa171@company.com,United States,New York,Data Scientist,HR,USD,123225,123225.0,2024-06-09,1.6,Satisfactory,On-Site
USA0172,USAEmp172,Last172,usa172@company.com,United States,New York,Sales Manager,Engineering,USD,81800,81800.0,2024-03-01,1.9,Satisfactory,On-Site
USA0173,USAEmp173,Last173,usa173@company.com,United States,Boston,Sales Manager,Product,USD,85783,85783.0,2020-06-28,5.6,Excellent,Hybrid
USA0174,USAEmp174,Last174,usa174@company.com,United States,Seattle,Sales Manager,Finance,USD,86644,86644.0,2020-12-01,5.2,Outstanding,Hybrid
USA0175,USAEmp175,Last175,usa175@company.com,United States,New York,Data Scientist,Engineering,USD,139407,139407.0,2019-12-11,6.1,Satisfactory,Hybrid
USA0176,USAEmp176,Last176,usa176@company.com,United States,Austin,Engineering Manager,Finance,USD,179210,179210.0,2018-11-27,7.2,Good,Hybrid
USA0177,USAEmp177,Last177,usa177@company.com,United States,Austin,Data Scientist,Engineering,USD,108055,108055.0,2021-10-04,4.3,Excellent,Hybrid
USA0178,USAEmp178,Last178,usa178@company.com,United States,Seattle,Engineering Manager,Finance,USD,187049,187049.0,2019-08-17,6.4,Good,Remote
USA0179,USAEmp179,Last179,usa179@company.com,United States,San Francisco,Sales Manager,HR,USD,95939,95939.0,2022-12-29,3.1,Outstanding,On-Site
USA0180,USAEmp180,Last180,usa180@company.com,United States,Seattle,Sales Manager,Product,USD,102553,102553.0,2016-09-24,9.3,Good,Remote
USA0181,USAEmp181,Last181,usa181@company.com,United States,Seattle,Sales Manager,Finance,USD,82460,82460.0,2019-02-09,7.0,Excellent,On-Site
USA0182,USAEmp182,Last182,usa182@company.com,United States,San Francisco,Software Engineer,Sales,USD,131121,131121.0,2018-10-28,7.2,Satisfactory,Remote
USA0183,USAEmp183,Last183,usa183@company.com,United States,New York,Engineering Manager,Engineering,USD,187823,187823.0,2017-11-10,8.2,Good,Hybrid
USA0184,USAEmp184,Last184,usa184@company.com,United States,New York,Sales Manager,Product,USD,97230,97230.0,2024-02-07,2.0,Good,On-Site
